ThetaDeg;N;SkinDepth;SolveResult;BcErrorPct;HelmholtzResidual;Incident;ReflectedPct;TransmittedPct;AbsorbedPct;EnergyTotalPct;EnergyBalanceErrorPct;TransmittedThroughStrip;SolveTimeMs;MetricsTimeMs;ErrorMessage
10;5;0;1;2.2671849983974002;0.00035231944097139804;67.145735061726995;7.1079980261428934;92.892001973857106;0;100;0;0.00037904205776991923;27;335;
10;5;0.10000000000000001;1;10.905296693329508;0.00032371598193185351;67.145735061726995;0.11822214163740666;98.916583330285931;0.9651945280766504;100;0;-0.72749160761830345;1;322;
10;5;0.01;1;6.4837986466721755;0.00036544394006264667;67.145735061726995;6.7861605236687401;89.845332565677452;3.3685069106538146;100;0;-3.1074379202697067;1;379;
10;5;0.001;1;3.0367387489446243;0.00035377136482078156;67.145735061726995;7.3349561253941982;92.193973125333258;0.47107074927254394;100;0;-0.38901594684907403;2;397;
10;10;0;1;0.00049687364282853107;0.00035144242279614807;67.145735061726995;7.124202723415042;92.875797276584962;0;100;0;1.2874026630793437E-05;21;500;
10;10;0.10000000000000001;1;0.40087894580099115;0.00032298045623105174;67.145735061726995;0.11750762752231901;98.94217781416252;0.94031455831516764;100;0;-0.72424339367077328;5;382;
10;10;0.01;1;0.39542761884642719;0.00036209499322871019;67.145735061726995;6.7536260225239575;89.949305596380228;3.2970683810958161;99.999999999999972;2.1164195614416881E-14;-3.1251569745010488;4;303;
10;10;0.001;1;0.22879126382695145;0.00035359750621155161;67.145735061726995;7.3732312654380436;92.169129680865211;0.45763905369674268;100;0;-0.42008890396886178;5;349;
10;20;0;1;1.9802398201966787E-05;0.00031722676256451873;67.145735061726995;7.1241928162173878;92.875807183782612;0;100;0;1.3209893398735172E-06;65;1019;
10;20;0.10000000000000001;1;0.067230055128053495;0.0003098012057146986;67.145735061726995;0.11695477831132461;98.941490698497361;0.94155452319131672;100;0;-0.72544341055751016;38;1077;
10;20;0.01;1;0.060399021058150135;0.00031909627197000673;67.145735061726995;6.7362145090064729;89.934840066132168;3.3289454248613568;99.999999999999972;2.1164195614416881E-14;-3.1422571110343238;46;1364;
10;20;0.001;1;0.03595347553594079;0.00031938679107738633;67.145735061726995;7.3679091594379322;92.14392986547179;0.48816097509027034;100;0;-0.43580547669897735;88;1594;
10;30;0;1;7.368124472207316E-06;0.00031810550255167844;67.145735061726995;7.1241927438345121;92.875807256165487;0;100;0;3.8242843966113597E-07;188;2649;
10;30;0.10000000000000001;1;0.020963169748452901;0.00031430625316908057;67.145735061726995;0.11685205336477278;98.941228234566466;0.9419197120687629;100;0;-0.72584112137114398;164;2379;
10;30;0.01;1;0.018354518085211088;0.00032882268660896173;67.145735061726995;6.7330275558082908;89.929116484284677;3.3378559599070372;100;0;-3.1466057239388956;143;2491;
10;30;0.001;1;0.0091627942586503617;0.00032439692506389394;67.145735061726995;7.3661446255932015;92.134058419328895;0.49979695507790878;100;0;-0.44045618580377044;165;2408;
10;60;0;1;8.0084294106000089E-07;0.00030653892923910122;67.145735061726995;7.1241927037892507;92.875807296210752;0;100;0;5.0106248041678533E-08;1062;14254;
10;60;0.10000000000000001;1;0.0026328451125178683;0.0003081623824750911;67.145735061726995;0.11679037821933594;98.94122370802161;0.9419859137590626;100;0;-0.72587109976050834;1074;14371;
10;60;0.01;1;0.0022449331838408412;0.00031087486140793434;67.145735061726995;6.7311335103155621;89.929039896540246;3.3398265931441955;99.999999999999972;2.1164195614416881E-14;-3.1479545486086495;1455;14590;
10;60;0.001;1;0.000910127697464059;0.00031048363921683367;67.145735061726995;7.3651110316164319;92.132641734327819;0.50224723405574889;100;0;-0.44214082625515444;1354;15355;
