ThetaDeg;N;SkinDepth;SolveResult;BcErrorPct;HelmholtzResidual;Incident;ReflectedPct;TransmittedPct;AbsorbedPct;EnergyTotalPct;EnergyBalanceErrorPct;TransmittedThroughStrip;SolveTimeMs;MetricsTimeMs;ErrorMessage
0;5;0;1;2.5135369022092378;0.00034020206764312939;56.548667764616276;7.8027810396408421;92.197218960359166;0;100;0;0.0019024537190867202;13;269;
0;5;0.10000000000000001;1;15.189311229882382;0.00034946339004722569;56.548667764616276;0.23192457834809754;98.314017450403895;1.4540579712480113;100;0;-0.78933819842623087;1;252;
0;5;0.01;1;7.2721438255645445;0.00035033926802035447;56.548667764616276;8.198280898860034;87.055181230721161;4.7465378704188064;100;0;-2.6127570128571631;1;250;
0;5;0.001;1;3.338349430493595;0.00033898065197818022;56.548667764616276;8.1231120361579929;91.220932950828569;0.65595501301343062;100;0;-0.33752515216475798;1;238;
0;10;0;1;0.0006366866840683274;0.00034030484758387563;56.548667764616276;7.8203164025631864;92.179683597436807;0;100;0;1.205270403026332E-05;5;288;
0;10;0.10000000000000001;1;0.52415951239540348;0.0003482568193470593;56.548667764616276;0.2307102061494567;98.382722401748708;1.3865673921018418;100;0;-0.78551237652220363;4;287;
0;10;0.01;1;0.40671323371927948;0.00034982855379137306;56.548667764616276;8.1683695334231015;87.188675102326457;4.6429553642504304;100;0;-2.6337177306518589;4;298;
0;10;0.001;1;0.22788225656978378;0.00033955331076643074;56.548667764616276;8.1690113357309908;91.191515398861355;0.63947326540765714;100;0;-0.37130860648368108;4;281;
0;20;0;1;1.9656113258792911E-05;0.00032296533128019396;56.548667764616276;7.8203041250258716;92.179695874974115;0;100;0;1.1436592936136785E-06;39;1051;
0;20;0.10000000000000001;1;0.088395123280684829;0.00032857946692779267;56.548667764616276;0.22964812721022956;98.379948588779271;1.3904032840105056;100;0;-0.78664966983055629;43;1061;
0;20;0.01;1;0.062286995977369253;0.00033942114384370839;56.548667764616276;8.1492543785320386;87.168788437937664;4.6819571835303098;100;0;-2.6498121986876506;45;1073;
0;20;0.001;1;0.035990903715580294;0.00032319107601802739;56.548667764616276;8.1638732233641953;91.158866278861225;0.67726049777457731;100;0;-0.38664310074311198;53;1055;
0;30;0;1;7.3117090783610511E-06;0.00031459496305353917;56.548667764616276;7.8203040627533982;92.179695937246606;0;100;0;3.3144004560266814E-07;153;2697;
0;30;0.10000000000000001;1;0.027572612964425595;0.00033684887372007399;56.548667764616276;0.22945072279023809;98.378758576529293;1.3917907006804779;100;0;-0.78705675258899921;163;3077;
0;30;0.01;1;0.018925264044282568;0.00033196251447689332;56.548667764616276;8.145753814485861;87.161226389578459;4.693019795935677;100;0;-2.6539389542898393;187;2987;
0;30;0.001;1;0.009181758938740547;0.00031845339268784574;56.548667764616276;8.162004058847625;91.146556347043727;0.6914395941086392;100;0;-0.39116003306608249;151;2876;
0;60;0;1;7.9502839941562997E-07;0.00031234219829940751;56.548667764616276;7.8203040356319669;92.179695964368037;0;100;0;4.3526809050703596E-08;1381;14522;
0;60;0.10000000000000001;1;0.003464216097154514;0.0003271059995337675;56.548667764616276;0.22933219568876834;98.378840985791854;1.3918268185193863;100;0;-0.78706995176649508;1164;14997;
0;60;0.01;1;0.0023166617235884698;0.00033162185369292667;56.548667764616276;8.143673938869469;87.160998279788259;4.6953277813422716;100;0;-2.6552030267211486;1273;14263;
0;60;0.001;1;0.00091237712280430342;0.00031444551374378948;56.548667764616276;8.1609065324811887;91.144654033095378;0.69443943442343969;100;0;-0.39278121892434614;1082;16395;
30;5;0;1;1.6728718752361607;0.00020718718415789779;81.959305697016703;9.5328257044228106;90.46717429557718;0;100;0;0.00054722181240652581;1;206;
30;5;0.10000000000000001;1;20.10068025053954;0.000183853011440457;81.959305697016703;0.92830125030799038;98.53693077604153;0.53476797365046114;100;0;-0.14066169556821578;1;211;
30;5;0.01;1;4.4136516058791644;0.00021718839472007292;81.959305697016703;8.3810146016778191;88.325559689118549;3.2934257092036274;100;0;-5.5976573833252736;1;240;
30;5;0.001;1;2.1080087842960662;0.00020891112466809168;81.959305697016703;9.9014788737309409;89.671291271613669;0.42722985465537888;100;0;-0.61373921851592284;1;236;
30;10;0;1;0.00037407490065308245;0.00020892938926761015;81.959305697016703;9.5415160203990332;90.458483979600985;0;100;0;2.34859232077638E-05;6;357;
30;10;0.10000000000000001;1;1.2244492966849692;0.00018535292411223496;81.959305697016703;0.91674192765191131;98.591146897207523;0.49211117514055208;100;0;-0.13693173723604069;7;319;
30;10;0.01;1;0.45732356920084721;0.00021542749969555197;81.959305697016703;8.2886162343345102;88.463570535666719;3.2478132299987625;100;0;-5.5992195027518781;5;315;
30;10;0.001;1;0.2958178167608283;0.00021225705499440924;81.959305697016703;9.9184022687428008;89.665699169448416;0.41589856180880164;100;0;-0.6485501924493362;5;316;
30;20;0;1;2.776046152151186E-05;0.00024095252960970454;81.959305697016703;9.5415094072791575;90.458490592720835;0;100;0;2.9033230858268465E-06;43;1270;
30;20;0.10000000000000001;1;0.20040180097778962;0.00021061993999306583;81.959305697016703;0.91202258577986162;98.598399127953115;0.48957828626702266;100;0;-0.13829762015506927;41;1054;
30;20;0.01;1;0.06995024111395523;0.00021322483516711906;81.959305697016703;8.2563784694720663;88.463850714399385;3.2797708161285604;100;0;-5.6213510022847863;38;977;
30;20;0.001;1;0.045191423191051364;0.00023840785110756222;81.959305697016703;9.9054601007596794;89.647266130346893;0.44727376889343212;100;0;-0.67000885345517458;36;992;
30;30;0;1;1.0340792434327359E-05;0.00018133366290154572;81.959305697016703;9.5415084130960555;90.458491586903946;0;100;0;8.3837776179946707E-07;122;2479;
30;30;0.10000000000000001;1;0.062443982572221897;0.00019258249022601745;81.959305697016703;0.91114547372699406;98.600192638448618;0.48866188782439896;100;0;-0.13870542418633036;166;2380;
30;30;0.01;1;0.021343989889620187;0.00018526029624583654;81.959305697016703;8.2504592239843806;88.460688836480088;3.2888519395355251;100;0;-5.6272693106836851;153;2323;
30;30;0.001;1;0.011452584838757426;0.00018482257281143293;81.959305697016703;9.9022204913890253;89.638192674171734;0.45958683443924592;100;0;-0.67647132251489761;131;2378;
30;60;0;1;1.1205298818833052E-06;0.00022595364220511066;81.959305697016703;9.5415079879607347;90.458492012039258;0;100;0;1.0904720292661851E-07;1014;13624;
30;60;0.10000000000000001;1;0.007803224147413401;0.00020910332252216789;81.959305697016703;0.9106188435050967;98.600638942640231;0.48874221385467131;100;0;-0.13881869382790016;1000;13013;
30;60;0.01;1;0.0025889756724240941;0.00020175295728404411;81.959305697016703;8.246934549395629;88.462236620120564;3.2908288304838154;100;0;-5.6289665237912319;1016;14020;
30;60;0.001;1;0.0011336700618547078;0.00022316703625476045;81.959305697016703;9.9003397502839601;89.637547442874322;0.46211280684171419;100;0;-0.6788535508404645;1035;12843;
60;5;0;1;1.4518396137745939;9.1487795071567394E-05;85.409013855685998;11.704080739179846;88.295919260820142;0;100;0;-0.0068217891760410021;1;193;
60;5;0.10000000000000001;1;7.2529020927501628;0.00012740583466103154;85.409013855685998;3.0422077965307315;96.615914916707851;0.34187728676141671;100;0;1.1434746152639375;1;197;
60;5;0.01;1;5.1059173850131572;0.00015219406265932716;85.409013855685998;7.4889165882024349;89.850844980483231;2.6602384313143275;100;0;-6.0017324069527787;1;208;
60;5;0.001;1;2.2526148191547102;9.5819593265337069E-05;85.409013855685998;11.946065864037415;87.564951809785043;0.48898232617753684;100;0;-0.85980243763199726;1;203;
60;10;0;1;0.00038568798308145512;9.3894393463805637E-05;85.409013855685998;11.699037548630473;88.300962451369543;0;100;0;4.5465638507148595E-05;4;246;
60;10;0.10000000000000001;1;1.7707725524795055;0.00013046625158371733;85.409013855685998;3.0058274649905861;96.700949951064715;0.29322258394469186;100;0;1.1623346432497745;4;249;
60;10;0.01;1;0.38631926497757196;0.00015576735548003396;85.409013855685998;7.3512727547876109;90.019258665118628;2.6294685800937669;100;0;-5.9782008035730492;3;244;
60;10;0.001;1;0.30082238550578466;0.00010095557974573827;85.409013855685998;11.85736192591847;87.679660081888187;0.46297799219335189;100;0;-0.90225320483470084;5;244;
60;20;0;1;3.7531825978579482E-05;0.00022475611581831146;85.409013855685998;11.699036459839293;88.300963540160708;0;100;0;5.675900299261538E-06;32;853;
60;20;0.10000000000000001;1;0.30928097854005104;0.00021541447819373879;85.409013855685998;2.9950292000594936;96.717647331848895;0.28732346809161047;100;0;1.1635803208248692;34;869;
60;20;0.01;1;0.063048131423514994;0.00021306761089802707;85.409013855685998;7.3193413479903757;90.030979953149782;2.6496786988598355;100;0;-5.9855831003876983;30;946;
60;20;0.001;1;0.049006437124210316;0.00023133318635077912;85.409013855685998;11.809680415373286;87.687690157565839;0.50262942706087788;100;0;-0.93055416543211378;35;939;
60;30;0;1;1.4096751982457625E-05;0.00015291923850776197;85.409013855685998;11.699036030071962;88.300963969928034;0;100;0;1.6453074704121645E-06;114;2373;
60;30;0.10000000000000001;1;0.098401556065036574;0.00017500802676100773;85.409013855685998;2.9929907713315518;96.721755523028321;0.28525370564013136;100;0;1.1634954082915565;116;2323;
60;30;0.01;1;0.019492001005981835;0.00015521556517776507;85.409013855685998;7.313448855671532;90.030551227240352;2.6559999170881232;100;0;-5.9889725050994773;118;2325;
60;30;0.001;1;0.012880807656264351;0.00014211314105394934;85.409013855685998;11.800086324038709;87.680977401114319;0.51893627484697558;100;0;-0.93963629833459572;114;2337;
60;60;0;1;1.5129513476178459E-06;0.00024292218669652664;85.409013855685998;11.699035981850598;88.300964018149401;0;100;0;2.1174234133957343E-07;999;15737;
